Name,Price,Rating,Specification 1,Specification 2,Specification 3,Specification 4,Specification 5
"Apple iPhone 7 Plus (Gold, 128 GB)",42900.0,N/A,128 GB ROM,13.94 cm (5.488 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,Brand Warranty of 1 Year
"Apple iPhone 15 Plus (Black, 256 GB)",84999.0,N/A,256 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone 15 Pro (Natural Titanium, 256 GB)",129990.0,N/A,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone 14 Pro (Silver, 1 TB)",169900.0,N/A,1 TB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone 15 Pro (Black Titanium, 512 GB)",149990.0,N/A,512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone 15 Plus (Pink, 512 GB)",104999.0,N/A,512 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone 14 Pro Max (Space Black, 512 GB)",157999.0,N/A,512 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone 11 (Black, 128 GB) (Includes EarPods, Power Adapter)",39999.0,N/A,128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty for 1 Year
"Apple iPhone 15 Plus (Pink, 256 GB)",84999.0,N/A,256 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone 14 Pro Max (Gold, 512 GB)",157999.0,N/A,512 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone 14 ((PRODUCT)RED, 256 GB)",68999.0,N/A,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone SE 3rd Gen (Midnight, 128 GB)",54900.0,N/A,128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",Brand Warranty of 1 Year
"Apple iPhone 14 Pro (Space Black, 512 GB)",149900.0,N/A,512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone 11 (Purple, 64 GB)",43900.0,N/A,64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty of 1 Year
"Apple iPhone 14 Plus ((PRODUCT)RED, 256 GB)",65999.0,N/A,256 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone 15 Pro (White Titanium, 256 GB)",129990.0,N/A,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone 13 ((PRODUCT)RED, 256 GB)",69900.0,N/A,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,Brand Warranty for 1 Year
"Apple iPhone 14 Plus (Purple, 256 GB)",65999.0,N/A,256 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone XR (Coral, 128 GB) (Includes EarPods, Power Adapter)",52900.0,N/A,128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor,iOS 13 Compatible
"Apple iPhone 15 (Yellow, 256 GB)",74999.0,N/A,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone 12 (Red, 64 GB)",49900.0,N/A,64 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield
"Apple iPhone 15 Pro (Blue Titanium, 128 GB)",119990.0,N/A,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone 13 Pro Max (Silver, 1 TB)",179900.0,N/A,1 TB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,Brand Warranty for 1 Year
"Apple iPhone 15 Plus (Green, 512 GB)",104999.0,N/A,512 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone 13 Pro Max (Graphite, 128 GB)",129900.0,N/A,128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,Brand Warranty for 1 Year
"Apple iPhone SE (White, 256 GB)",54900.0,N/A,256 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor,"Water and Dust Resistant (1 meter for Upto 30 minutes, IP67)"
"Apple iPhone 15 Pro (White Titanium, 128 GB)",119990.0,N/A,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone 11 (Yellow, 64 GB)",43900.0,N/A,64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty of 1 Year
"Apple iPhone 14 Pro Max (Gold, 128 GB)",127999.0,N/A,128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone 11 (Black, 128 GB)",39999.0,N/A,128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty of 1 Year
"Apple iPhone 13 Pro (Gold, 256 GB)",129900.0,N/A,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,Brand Warranty for 1 Year
"Apple iPhone 11 (Black, 64 GB)",43900.0,N/A,64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty of 1 Year
"Apple iPhone 14 Pro Max (Deep Purple, 512 GB)",157999.0,N/A,512 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone XS (Silver, 64 GB)",89900.0,N/A,64 GB ROM,14.73 cm (5.8 inch) Super Retina HD Display,12MP + 12MP | 7MP Front Camera,A12 Bionic Chip Processor,1 Year Limited Warranty for Products and Accessories
"Apple iPhone 15 Pro (White Titanium, 512 GB)",149990.0,N/A,512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone 15 Pro (Natural Titanium, 512 GB)",149990.0,N/A,512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone 12 mini (Green, 64 GB)",23000.0,N/A,64 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield
"Apple iPhone 15 Pro (Blue Titanium, 128 GB)",119990.0,N/A,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone 14 Pro (Silver, 1 TB)",169900.0,N/A,1 TB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone SE (Black, 64 GB)",39900.0,N/A,64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor,"Water and Dust Resistant (1 meter for Upto 30 minutes, IP67)"
"Apple iPhone 14 Pro (Gold, 128 GB)",119900.0,N/A,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone 14 Pro Max (Silver, 256 GB)",137999.0,N/A,256 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone 11 (Yellow, 128 GB)",39999.0,N/A,128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty of 1 Year
"Apple iPhone 11 (Red, 128 GB)",39999.0,N/A,128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty of 1 Year
"Apple iPhone 12 (Purple, 128 GB)",54900.0,N/A,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield
"Apple iPhone 15 Pro (White Titanium, 128 GB)",119990.0,N/A,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone 11 (Red, 64 GB)",29999.0,N/A,64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty of 1 Year
"Apple iPhone X (Silver, 256 GB)",106900.0,N/A,256 GB ROM,14.73 cm (5.8 inch) Super Retina HD Display,12MP + 12MP | 7MP Front Camera,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor",Brand Warranty of 1 Year
"Apple iPhone 15 Pro (Blue Titanium, 512 GB)",149990.0,N/A,512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone 15 Plus (Green, 256 GB)",84999.0,N/A,256 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone 13 Pro (Gold, 256 GB)",129900.0,N/A,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,Brand Warranty for 1 Year
"Apple iPhone 13 mini (Pink, 128 GB)",64900.0,N/A,128 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,Brand Warranty for 1 Year
"Apple iPhone 12 (Purple, 256 GB)",64900.0,N/A,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield
"Apple iPhone SE (Black, 128 GB)",44900.0,N/A,128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor,"Water and Dust Resistant (1 meter for Upto 30 minutes, IP67)"
"Apple iPhone 15 Pro (Natural Titanium, 1 TB)",169990.0,N/A,1 TB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone 12 mini (Purple, 128 GB)",29999.0,N/A,128 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield
"Apple iPhone 12 (Green, 256 GB)",64900.0,N/A,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield
"Apple iPhone 13 Pro Max (Alpine Green, 512 GB)",159900.0,N/A,512 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,Brand Warranty for 1 Year
"Apple iPhone 15 Pro (Natural Titanium, 128 GB)",119990.0,N/A,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone 13 ((PRODUCT)RED, 256 GB)",69900.0,N/A,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,Brand Warranty for 1 Year
"Apple iPhone 12 mini (Black, 128 GB)",29999.0,N/A,128 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield
"Apple iPhone 12 (Purple, 64 GB)",49900.0,N/A,64 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield
"Apple iPhone 12 (White, 256 GB)",64900.0,N/A,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield
"Apple iPhone 12 mini (White, 128 GB)",29999.0,N/A,128 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield
"Apple iPhone 12 mini (Blue, 64 GB)",23000.0,N/A,64 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield
"Apple iPhone 15 Pro Max (Black Titanium, 1 TB)",188900.0,N/A,1 TB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone 11 (Green, 64 GB)",29999.0,N/A,64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty of 1 Year
"Apple iPhone 12 Pro (Graphite, 128 GB)",109900.0,N/A,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield | Industry-leading IP68 Water Resistance
"Apple iPhone 12 mini (Blue, 128 GB)",29999.0,N/A,128 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield
"Apple iPhone 15 Pro Max (Blue Titanium, 256 GB)",139990.0,N/A,256 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone 14 Pro Max (Deep Purple, 128 GB)",127999.0,N/A,128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone X (Silver, 64 GB)",91900.0,N/A,64 GB ROM,14.73 cm (5.8 inch) Super Retina HD Display,12MP + 12MP | 7MP Front Camera,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor",iOS 13 Compatible
"Apple iPhone 15 Pro Max (White Titanium, 256 GB)",139990.0,N/A,256 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone 15 Pro Max (Blue Titanium, 1 TB)",188900.0,N/A,1 TB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone 12 (Green, 64 GB)",49900.0,N/A,64 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield
"Apple iPhone 12 (White, 128 GB)",54900.0,N/A,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield
"Apple iPhone 15 Pro Max (White Titanium, 1 TB)",188900.0,N/A,1 TB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Apple iPhone 12 Pro (Pacific Blue, 512 GB)",139900.0,N/A,512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield | Industry-leading IP68 Water Resistance
"Apple iPhone 13 Pro (Alpine Green, 256 GB)",129900.0,N/A,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,Brand Warranty for 1 Year
"Apple iPhone 13 Pro (Alpine Green, 1 TB)",169900.0,N/A,1 TB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,Brand Warranty for 1 Year
"Apple iPhone 8 Plus (Gold, 256 GB)",84900.0,N/A,256 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor",Brand Warranty of 1 Year
"Apple iPhone XR (Coral, 256 GB) (Includes EarPods, Power Adapter)",91900.0,N/A,256 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor,Brand Warranty of 1 Year
"Apple iPhone 13 Pro (Graphite, 1 TB)",169900.0,N/A,1 TB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,Brand Warranty for 1 Year
"Apple iPhone 7 Plus (Rose Gold, 256 GB)",85400.0,N/A,256 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,Brand Warranty of 1 Year
"Apple iPhone 15 Pro - Unboxed (Blue Titanium, 512 GB)",164900.0,N/A,512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
